RunID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,0,0,1,2,1,2,1,2,1,2
3,0,0,2,0,0,2,1,2,1,2,1,2,1
4,0,1,0,1,2,0,0,1,1,1,1,2,2
5,0,1,1,1,2,1,2,2,0,2,0,0,1
6,0,1,2,1,2,2,1,0,2,0,2,1,0
7,0,2,0,2,1,0,0,2,2,2,2,1,1
8,0,2,1,2,1,1,2,0,1,0,1,2,0
9,0,2,2,2,1,2,1,1,0,1,0,0,2
10,1,0,2,1,1,0,2,2,1,0,2,0,2
11,1,1,0,2,0,1,1,1,1,2,2,0,0
12,1,1,2,2,0,0,2,0,2,1,0,2,1
13,1,2,0,0,2,1,1,2,2,0,0,2,2
14,1,2,1,0,2,2,0,0,1,1,2,0,1
15,1,0,0,2,2,2,2,0,0,2,2,2,2
16,1,0,1,2,2,0,1,1,2,0,1,0,1
17,1,0,2,2,2,1,0,2,1,1,0,1,0
18,1,1,0,0,1,2,2,1,1,0,0,1,1
19,1,1,1,0,1,0,1,2,0,1,2,2,0
20,1,1,2,0,1,1,0,0,2,2,1,0,2
21,1,2,0,1,0,2,2,2,2,1,1,0,0
22,1,2,1,1,0,0,1,0,1,2,0,1,2
23,1,2,2,1,0,1,0,1,0,0,2,2,1
