run,row,snr_ratio,spectral_operator_mode,sampler_type,sampling_steps,train_steps,image_resolution
1,1,1,1,1,1,1,1
2,2,1,1,1,2,2,2
3,3,1,1,1,3,3,3
4,4,1,2,2,1,1,1
5,5,1,2,2,2,2,2
6,6,1,2,2,3,3,3
7,7,1,3,2,1,2,2
8,8,1,3,2,2,3,3
9,9,1,3,2,3,1,1
10,10,2,1,2,3,1,2
11,11,2,1,2,1,2,3
12,12,2,1,2,2,3,1
13,13,2,2,2,2,1,3
14,14,2,2,2,3,2,1
15,15,2,2,2,1,3,2
16,16,2,3,1,2,1,2
17,17,2,3,1,3,2,3
18,18,2,3,1,1,3,1
19,19,3,1,2,2,1,3
20,20,3,1,2,3,2,1
21,21,3,1,2,1,3,2
22,22,3,2,1,3,1,2
23,23,3,2,1,1,2,3
24,24,3,2,1,2,3,1
25,25,3,3,2,1,1,3
26,26,3,3,2,2,2,1
27,27,3,3,2,3,3,2
