factor,level,mean_metric,snr,mean_runtime_seconds,mean_images_per_second,mean_loss_final,delta,rank
D,1,0.02786399001659125,-31.11126031747586,21.184096374723595,90.71284242940686,0.5010556951165199,0.5954254440976747,1
D,2,0.029827649770448,-30.515834873378186,20.89575952049927,91.89035785755289,0.4804416075348854,0.5954254440976747,1
C,1,0.028606780284959544,-30.89664138885526,21.131696399790236,90.92503037071722,0.4849660336971283,0.197180307292669,2
C,2,0.029244219241119765,-30.699461081562593,20.886980527313426,91.92921643141761,0.5003863473733267,0.197180307292669,2
B,1,0.028626120662399973,-30.89669980654541,21.250256697734585,90.42482769939654,0.48570024222135544,0.14715845238535152,3
B,2,0.029065519124639276,-30.74954135416006,20.829599197488278,92.1783725875632,0.4957970604300499,0.14715845238535152,3
A,1,0.028713004153847935,-30.86564366520411,21.462986916614074,89.52095753311715,0.46427878737449646,0.06723512431741341,4
A,2,0.02892550933732264,-30.798408540886697,20.786092566209845,92.36998570969752,0.5066305696964264,0.06723512431741341,4
E,1,0.0287084894805476,-30.855692276172505,21.19289412474609,90.67564510361893,0.4839666411280632,0.06413362230219377,5
E,2,0.02898315030649165,-30.79155865387031,20.886961770476773,91.92755518334083,0.49753066152334213,0.06413362230219377,5
