factor,level,mean_metric,snr,mean_runtime_seconds,mean_images_per_second,mean_loss_final,delta,rank
E,1,0.031070061679877123,-30.206249887541862,20.807349010254256,92.27960851973533,0.4991587996482849,0.49346231626820014,1
E,2,0.029194916254641774,-30.699712203810062,20.769255249761045,92.44564053506367,0.48282755166292185,0.49346231626820014,1
D,1,0.031060119941351626,-30.206313896558136,20.73482464576955,92.599014622305,0.4873264282941818,0.4933411724168195,2
D,2,0.02920485799316727,-30.699655068974955,20.841779614245752,92.12623443249402,0.494659923017025,0.4933411724168195,2
B,1,0.030817725753406626,-30.29030687706775,20.71523630199954,92.6867030994441,0.49905650317668915,0.332977232755848,3
B,2,0.029447252181112275,-30.623284109823597,20.861367958015762,92.0385459553549,0.48292984813451767,0.332977232755848,3
C,1,0.030590502974058943,-30.339652206531504,20.815797075023873,92.24117660260652,0.49186661243438723,0.3137645995864773,4
C,2,0.029369132289260302,-30.65341680611798,20.742477221647277,92.56503773538783,0.48953744769096375,0.3137645995864773,4
A,1,0.030609034619405034,-30.381493215458192,20.854690888663754,92.06945434084766,0.5088482201099396,0.124916274968502,5
A,2,0.029846561575972104,-30.506409490426694,20.748468874813987,92.53852663933061,0.4802801489830017,0.124916274968502,5
