factor,level,mean_metric,snr,mean_runtime_seconds,mean_images_per_second,mean_loss_final,delta,rank
D,1,0.02731614123503235,-31.28923836536866,21.58871982275741,88.94026197090444,0.5122012943029404,0.8420393771439869,1
D,2,0.030051946003596324,-30.447198988224674,20.904030301753664,91.8595799134716,0.5349257588386536,0.8420393771439869,1
C,1,0.028341190888728662,-31.003454437908,21.392035683011635,89.76640344111432,0.5279856085777282,0.31331351110113204,2
C,2,0.029255464836957134,-30.69014092680687,21.003607360995375,91.45578344397752,0.5161933898925781,0.31331351110113204,2
B,1,0.0282375800566263,-31.037856302958286,21.16981458297232,90.74660832901336,0.5181257724761963,0.3038370650574116,3
B,2,0.029130507182002375,-30.734019237900874,21.322935541538754,90.05323355536271,0.5290012806653976,0.3038370650574116,3
E,1,0.029146175047682323,-30.73823028605103,21.156830302003073,90.77627385621983,0.5449149012565613,0.2956958267390384,4
E,2,0.02822191219094635,-31.03392611279007,21.335919822508004,90.02356802815622,0.5022121518850327,0.2956958267390384,4
A,1,0.029137004211256867,-30.7332923008896,21.14072559696312,90.8365741855369,0.5325946609179179,0.24588557703942016,5
A,2,0.028412267264148822,-30.979177877929022,21.30976474143099,90.13792899617872,0.5181448459625244,0.24588557703942016,5
