factor,level,mean_metric,snr,mean_runtime_seconds,mean_images_per_second,mean_loss_final,delta,rank
B,1,0.10719691196119396,-19.779943391593722,0.5323929059668444,180.75251251934372,1.0498566627502441,2.12642507257263,1
B,2,0.1329876050184042,-17.653518319021092,0.5185420207271818,185.3816951361854,1.0895711183547974,2.12642507257263,1
E,1,0.108076178687384,-19.632115882035414,0.5195345104730222,185.0569311026746,1.0680112540721893,1.7476937958826504,2
E,2,0.13210833829221416,-17.884422086152764,0.531400416221004,181.07727655285458,1.0714165270328522,1.7476937958826504,2
D,1,0.11226697783293571,-19.1500448844302,0.5251343849813566,183.35408892922283,1.0870683789253235,0.631860537260561,3
D,2,0.12791753914666246,-18.51818434716964,0.5258005417126697,182.7801187263063,1.052359402179718,0.631860537260561,3
C,1,0.12125935636488243,-18.685246244019474,0.5220904997782781,184.44743929018676,1.096002459526062,0.41510503008669986,4
C,2,0.11814709536466017,-19.100351274106174,0.5310957359615713,180.76654472372763,1.025899608929952,0.41510503008669986,4
A,1,0.1212827360752089,-18.644730675622462,0.5222592496235544,184.067349943835,1.0560696125030518,0.3170709256049342,5
A,2,0.11937797193855318,-18.961801601227396,0.5273923915810883,182.4669561581223,1.0779004573822022,0.3170709256049342,5
